# key	thai
Pearl.Name.51101	เตรียมรบ: เหรียญ
Pearl.Name.51102	เตรียมรบ: กระปุกออมสิน
Pearl.Name.51103	เตรียมรบ: เรลิคตำนาน
Pearl.Name.51104	เตรียมรบ: เหรียญนำโชคสารพัด
Pearl.Name.51105	เตรียมรบ: เตาหลอม
Pearl.Name.51201	คำรามของช่างเทพ
Pearl.Name.51202	ค้อนตำนานของช่างเทพ
Pearl.Name.51203	ยาจำลองของช่างเทพ
Pearl.Name.51301	สินค้าลับของร้านค้า
Pearl.Name.51302	บัตรส่วนลดของร้านค้า
Pearl.Name.51401	เสริมการยิง
Pearl.Name.51402	เสริมแปรปรวน
Pearl.Name.51403	เสริมสกิลรบ
Pearl.Name.51404	เสริมธาตุ
Pearl.Name.51501	ความทรงจำของฮ็อตตี้
Pearl.Name.51502	ความทรงจำของเอลลา
Pearl.Name.51503	ความทรงจำของต้นไม้กระถางน้อย
Pearl.Name.51504	ความทรงจำของจอมมายากล
Pearl.Name.51505	ความทรงจำของนางรำ
Pearl.Name.51506	ความทรงจำของนักฝึกสัตว์
Pearl.Name.51507	ความทรงจำแห่งพรที่มอบแด่อลิเซีย
Pearl.Name.51508	ความทรงจำของเรเวน
Pearl.Name.51509	ความทรงจำของสามอัศวิน
Pearl.Name.51510	ความทรงจำแห่งเวฟล็อคร่วมใจ
Pearl.Name.51511	ความทรงจำของคนเก็บศพ
Pearl.Name.51512	ความทรงจำแห่งบาปเวฟล็อค
Pearl.Name.51513	ความทรงจำของโลเรไล อัศวินเทวี
Pearl.Name.51514	ความทรงจำของอลิเซีย
Pearl.Name.51901	แก่นแท้คนโง่
Pearl.Name.51902	แก่นแท้นักมายากล
Pearl.Name.51903	แก่นแท้นักบวชหญิง
Pearl.Name.51904	แก่นแท้จักรพรรดินี
Pearl.Name.51905	แก่นแท้จักรพรรดิ
Pearl.Name.51906	แก่นแท้พระสันตะปาปา
Pearl.Name.51907	แก่นแท้คู่รัก
Pearl.Name.51908	แก่นแท้ราชรถ
Pearl.Name.51909	แก่นแท้พลัง
Pearl.Name.51910	แก่นแท้ฤๅษี
Pearl.Name.51911	แก่นแท้โชคชะตา
Pearl.Name.51912	แก่นแท้ความยุติธรรม
Pearl.Name.51913	แก่นแท้คนแขวนคอ
Pearl.Name.51914	แก่นแท้ความตาย
Pearl.Name.51915	แก่นแท้ความพอดี
Pearl.Name.51916	แก่นแท้ปีศาจ
Pearl.Name.51917	แก่นแท้หอคอยขาว
Pearl.Name.51918	แก่นแท้ดวงดาว
Pearl.Name.51919	แก่นแท้ดวงจันทร์
Pearl.Name.51920	แก่นแท้ดวงอาทิตย์
Pearl.Name.51921	แก่นแท้การพิพากษา
Pearl.Name.51922	แก่นแท้โลก
Pearl.Name.52101	ต้านทานเพลิง
Pearl.Name.52102	ต้านทานกายภาพ
Pearl.Name.52103	ต้านทานกรด
Pearl.Name.52104	ต้านทานสายฟ้า
Pearl.Name.52105	ต้านทานเยือกแข็ง
Pearl.Name.52201	โล่แห่งความมืด
Pearl.Name.52202	โล่แห่งความมืด +
Pearl.Name.52301	ของขวัญแห่งความมืด
Pearl.Name.52302	ของขวัญแห่งความมืด +
Pearl.Name.52303	ของขวัญแห่งความมืด ++
Pearl.Name.52401	ชิ้นส่วนขึ้นสนิม
Pearl.Name.52402	กระสุนขึ้นสนิม
Pearl.Name.52403	ชิ้นส่วนสนิมจับตาย
Pearl.Name.52404	กระสุนสนิมจับตาย
Pearl.Name.52501	ย้ำคิดย้ำทำ
Pearl.Name.52502	กลัวแสง
Pearl.Name.52503	เหี่ยวเฉา
Pearl.Name.52504	พูดไม่ได้
Pearl.Name.52505	เก็บตัว
Pearl.Name.52506	อยู่ไม่นิ่ง
Pearl.Name.52507	ความจำเสื่อม
Pearl.Name.52508	กล้ามเนื้ออ่อนแรง
Pearl.Name.52509	ขาเป๋
Pearl.Name.52510	หงุดหงิด
Pearl.Name.52511	หัวสูง
Pearl.Name.52601	แก้แค้น
Pearl.Name.52602	ดูดเลือด
Pearl.Name.52603	ระเบิดน้ำแข็ง
Pearl.Name.52604	บ่อพิษ
Pearl.Name.52605	ดิ้นรน
Pearl.Name.52701	อาณาเขตของบอส
Pearl.Name.52702	อาณาเขตของลูกกระจ๊อก
Pearl.Name.52801	หอยทากไล่ล่า
Pearl.Name.52802	ไคเมร่าไล่ล่า
Pearl.Name.52803	ผู้บัญชาการไล่ล่า
Pearl.Name.52901	การหยอกล้อของคนโง่
Pearl.Name.52902	กลลวงของนักมายากล
Pearl.Name.52903	นักบวชหญิงผู้ตกต่ำ
Pearl.Name.52904	จักรพรรดินีผู้แปดเปื้อน
Pearl.Name.52905	ความดื้อรั้นของจักรพรรดิ
Pearl.Name.52906	แผนลับของพระสันตะปาปา
Pearl.Name.52907	การทรยศของคู่รัก
Pearl.Name.52908	ราชรถเสียการควบคุม
Pearl.Name.52909	พลังที่เสื่อมสลาย
Pearl.Name.52910	ฤๅษีผู้เงียบงัน
Pearl.Name.52911	โชคชะตาที่สับสน
Pearl.Name.52912	ความยุติธรรมของคนชั่ว
Pearl.Name.52913	ความทรมานของคนแขวนคอ
Pearl.Name.52914	คำสั่งแห่งความตาย
Pearl.Name.52915	ความพอดีที่พังทลาย
Pearl.Name.52916	ปีศาจเจ้าเล่ห์
Pearl.Name.52917	หอคอยขาวที่พังทลาย
Pearl.Name.52918	ดวงดาวหม่นมัว
Pearl.Name.52919	ดวงจันทร์ที่หยุดนิ่ง
Pearl.Name.52920	ดวงอาทิตย์ร่วงหล่น
Pearl.Name.52921	การพิพากษาที่ไม่เป็นธรรม
Pearl.Name.52922	โลกที่กำลังพังทลาย
