# key	thai
FightingTalk.Manual.1	พวกนอกรีตทั้งหลาย ไปตายซะ!
FightingTalk.Manual.2	พวกนอกรีตน่ะ ต้องเผาให้เป็นถ่านซะดี ๆ!
FightingTalk.Manual.3	เผา เผา เผา เผา... ไอ้พวกนอกรีต!
FightingTalk.Manual.4	นี่คือประสงค์ของพระเจ้า! นี่คือการชำระล้าง! นี่คือความรัก!
FightingTalk.Manual.5	องค์สุริยัน... โปรดประทาน... ชีวิตใหม่...
FightingTalk.Manual.6	เปลวเพลิง... ชำระ... บาป
FightingTalk.Manual.7	พวกนอกรีต... ต้องถูก... กวาดล้าง
FightingTalk.Manual.8	อา... อ้อมกอดของพระเจ้า... ทำไม... ตรงหน้าถึงมีแต่... ความมืด...
FightingTalk.Manual.9	ท่านผู้ชมทุกท่าน! นักแสดงเข้าที่แล้ว! การแสดงเริ่มขึ้น!
FightingTalk.Manual.10	เล็งไปที่เจ้าโง่คนนั้น!
FightingTalk.Manual.11	ต่อไป มีดบินเสียบคอ!
FightingTalk.Manual.12	เป้าหมาย! เจ้าโง่ที่วิ่งไม่ได้!
FightingTalk.Manual.13	ถึงเวลาทายปริศนา!
FightingTalk.Manual.14	เวรเอ๊ย!!!~~~~~~~~~~~~
FightingTalk.Manual.15	ต่อไป ฝ่าดงกระสุน!
FightingTalk.Manual.16	กระโดดสิ! ตื่นตูมกันเข้าไป!
FightingTalk.Manual.17	วิ่งสิ เจ้าตัวเล็ก!
FightingTalk.Manual.18	อย่าเข้าใกล้... เสียงของนาง... จะไชเข้าไปในหัว...
FightingTalk.Manual.19	อย่าเข้ามานะ ไอ้พวกอสูร!!!!
FightingTalk.Manual.20	จดไว้! รีบจดเดี๋ยวนี้! ท้องฟ้าถูกฉีกออกแล้ว!
FightingTalk.Manual.21	ไม่มีเรือ ไม่มีทาง ไม่มีใครออกไปได้!
FightingTalk.Manual.22	ถ้า... ยังมีภาชนะอีกร่าง... บางที...
FightingTalk.Manual.23	ปกป้องป้อมเวฟล็อคจนตัวตาย
FightingTalk.Manual.24	ไอ้พวกเกะกะ!
FightingTalk.Manual.25	ผ่านไปไม่ได้!
FightingTalk.Manual.26	เวฟล็อคผนึกกำลังเป็นหนึ่ง!
FightingTalk.Manual.27	ห้ามผ่าน!
FightingTalk.Manual.28	กวาดล้างให้เรียบ!
FightingTalk.Manual.29	ภารกิจ... ไม่เสียเปล่า!
FightingTalk.Manual.30	เพื่อ... เวฟล็อค...
FightingTalk.Manual.31	เพื่อ... อลิเซีย...
FightingTalk.Manual.32	จนกว่าจะตาย
FightingTalk.Manual.33	อาา... สุดท้ายกรรมก็ตามทันสินะ...
FightingTalk.Manual.34	อย่ามองหน้าพวกเขา... อย่าจำหมายเลข... ไม่งั้นมือจะหยุด
FightingTalk.Manual.35	ล็อต 184... หมายเลข 3 ยังหายใจอยู่... ฉันได้ยิน ฉันได้ยินจริง ๆ!
FightingTalk.Manual.36	ฉันช่วยไว้ได้คนเดียว แล้วที่เหลือล่ะ เด็ก ๆ ที่เหลือล่ะ!
FightingTalk.Manual.37	อย่าให้อภัยฉัน... อย่าให้อภัยเด็ดขาด...
FightingTalk.Manual.38	ทำไมมีแต่เธอที่ได้ชื่อ... พวกเรามีแค่หมายเลข
FightingTalk.Manual.39	(เสียงร้องไห้)
FightingTalk.Manual.40	พี่ชาย พี่สาว มาเล่นเกมกับพวกเราได้ไหม?
FightingTalk.Manual.41	สาม สอง หนึ่ง วิ่งเลย~ อย่าให้จับได้นะ!
FightingTalk.Manual.42	เด็กดีทุกคน รีบไปหาที่ของตัวเองเร็ว!~
FightingTalk.Manual.43	ทายซิว่าคำตอบที่ถูกอยู่ตรงไหน?
FightingTalk.Manual.44	ทุกคน มากระโดดเชือกด้วยกันเถอะ~
FightingTalk.Manual.45	ทุกคน ระวังใต้เท้าด้วยนะ~
