# key	thai
Tarot.Name.42011	คนโง่
Tarot.Name.42012	คนโง่ (กลับหัว)
Tarot.Name.42021	นักมายากล
Tarot.Name.42022	นักมายากล (กลับหัว)
Tarot.Name.42031	นักบวชหญิง
Tarot.Name.42032	นักบวชหญิง (กลับหัว)
Tarot.Name.42041	จักรพรรดินี
Tarot.Name.42042	จักรพรรดินี (กลับหัว)
Tarot.Name.42051	จักรพรรดิ
Tarot.Name.42052	จักรพรรดิ (กลับหัว)
Tarot.Name.42061	พระสันตะปาปา
Tarot.Name.42062	พระสันตะปาปา (กลับหัว)
Tarot.Name.42071	คู่รัก
Tarot.Name.42072	คู่รัก (กลับหัว)
Tarot.Name.42081	ราชรถ
Tarot.Name.42082	ราชรถ (กลับหัว)
Tarot.Name.42091	พลัง
Tarot.Name.42092	พลัง (กลับหัว)
Tarot.Name.42101	ฤๅษี
Tarot.Name.42102	ฤๅษี (กลับหัว)
Tarot.Name.42111	กงล้อแห่งโชคชะตา
Tarot.Name.42112	กงล้อแห่งโชคชะตา (กลับหัว)
Tarot.Name.42121	ความยุติธรรม
Tarot.Name.42122	ความยุติธรรม (กลับหัว)
Tarot.Name.42131	คนแขวนคอ
Tarot.Name.42132	คนแขวนคอ (กลับหัว)
Tarot.Name.42141	ความตาย
Tarot.Name.42142	ความตาย (กลับหัว)
Tarot.Name.42151	ความพอดี
Tarot.Name.42152	ความพอดี (กลับหัว)
Tarot.Name.42161	ปีศาจ
Tarot.Name.42162	ปีศาจ (กลับหัว)
Tarot.Name.42171	หอคอย
Tarot.Name.42172	หอคอย (กลับหัว)
Tarot.Name.42181	ดวงดาว
Tarot.Name.42182	ดวงดาว (กลับหัว)
Tarot.Name.42191	ดวงจันทร์
Tarot.Name.42192	ดวงจันทร์ (กลับหัว)
Tarot.Name.42201	ดวงอาทิตย์
Tarot.Name.42202	ดวงอาทิตย์ (กลับหัว)
Tarot.Name.42211	การพิพากษา
Tarot.Name.42212	การพิพากษา (กลับหัว)
Tarot.Name.42221	โลก
Tarot.Name.42222	โลก (กลับหัว)
Tarot.Description.42011	เอฟเฟกต์ <color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color> ของคุณทำงานเพิ่มอีก 1 ครั้ง
Tarot.Description.42012	เมื่อแยกชิ้นส่วนเรลิคที่มี <color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color>: ทำให้เอฟเฟกต์ <color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color> ทั้งหมดทำงาน 2 ครั้ง
Tarot.Description.42021	<color=#d6b85b><link=\\"9031\\">[นัดแรก]</link></color>: เปลี่ยนเป็นกระสุนมายากล ศัตรูที่โดนจะกลายเป็น<color=#d6b85b>กระต่าย</color> นาน 2 วินาที\\nความเสียหายที่คุณทำต่อ<color=#d6b85b>กระต่าย</color> +50%
Tarot.Description.42022	<color=#d6b85b><link=\\"9031\\">[นัดแรก]</link></color>: เปลี่ยนเป็นกระสุนมายากล ศัตรูที่โดนจะกลายเป็น<color=#d6b85b>กระต่าย</color> นาน 2 วินาที\\nความเสียหายที่คุณทำต่อ<color=#d6b85b>กระต่าย</color> +100%\\nคำเตือน: กระสุนมายากลอาจย้อนศรเป็นครั้งคราว ทำให้คุณเสียกระสุนทั้งหมด
Tarot.Description.42031	<color=#d6b85b><link=\\"9002\\">[ปลายทาง]:</link></color> ฟื้นพลังชีวิต 10%\\nการฟื้นพลังส่วนเกิน 20% จะแปลงเป็นชั้น <color=#d6b85b><link=\\"9024\\">[เติบโต]</link></color> เท่ากัน
Tarot.Description.42032	การฟื้นพลังส่วนเกินจะแปลงเป็น <color=#d6b85b><link=\\"9025\\">[เกราะ]</link></color> 2 เท่า
Tarot.Description.42041	ทุกครั้งที่คุณ<color=#d6b85b>แยกชิ้นส่วน</color>ไอเทม มีโอกาส 25% คืนไอเทมประเภทเดียวกัน 1 ชิ้น
Tarot.Description.42042	ทุกครั้งที่คุณ<color=#d6b85b>แยกชิ้นส่วน</color>ไอเทม มีโอกาส 15% คืนไอเทมประเภทเดียวกันที่คุณภาพไม่ต่ำกว่าเดิม 1 ชิ้น
Tarot.Description.42051	อัตราคริติคอลที่ได้จากแหล่งอื่นทั้งหมดเพิ่มเป็น 2 เท่า\\nอัตราคริติคอลส่วนเกินครึ่งหนึ่งจะแปลงเป็นความเสียหายคริติคอลเท่ากัน
Tarot.Description.42052	ความเสียหายคริติคอลพื้นฐานของคุณเปลี่ยนเป็นแบบผันแปร 200%-450%
Tarot.Description.42061	ศัตรูที่มีพลังชีวิตสูงสุดจะถูกทำเครื่องหมายเป็น <color=#d6b85b>[คนนอกรีต]</color> จนกว่ามันจะตาย เมื่อสร้างความเสียหายต่อ<color=#d6b85b>[คนนอกรีต]</color> จะเพิ่ม<color=#fff8cb>ความเสียหายจริง</color>เท่ากับครึ่งหนึ่งของความเสียหายครั้งนั้น
Tarot.Description.42062	ศัตรูที่มีพลังชีวิตสูงสุดจะถูกทำเครื่องหมายเป็น <color=#d6b85b>[คนนอกรีต]</color> จนกว่ามันจะตาย เมื่อสร้างความเสียหายต่อ <color=#d6b85b>[คนนอกรีต]</color> จะเพิ่ม<color=#fff8cb>ความเสียหายจริง</color>เท่ากับครึ่งหนึ่งของความเสียหายครั้งนั้น\\nคุณและศัตรูสร้างความเสียหายต่อกัน +50%
Tarot.Description.42071	คุณได้รับ<color=#d6b85b>เอฟเฟกต์อาวุธ</color>ของอาวุธรอง\\nคุณได้รับ<color=#d6b85b>เอฟเฟกต์พาสซีฟ</color>ของชิ้นส่วนอาวุธรอง\\nเพราะความรักไม่สมบูรณ์แบบ บางส่วนจึงไม่ทำงาน
Tarot.Description.42072	<color=#d6b85b>เมื่อใช้สกิลรบ:</color> ปล่อยสกิลรบของอาวุธรองด้วย
Tarot.Description.42081	เมื่อ <color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color>: ทำให้เอฟเฟกต์ <color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color> ทั้งหมดทำงาน
Tarot.Description.42082	เมื่อ <color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color>: ทำให้เอฟเฟกต์ <color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color> ทั้งหมดทำงาน
Tarot.Description.42091	ความเสียหายสุดท้าย +75%
Tarot.Description.42092	ความเสียหายสุดท้าย +120% ความเสียหายที่ได้รับ +30%
Tarot.Description.42101	ถ้าไม่มีหน่วยใด (พวกเดียวกันหรือศัตรู) ในระยะ 300 หลา อัตรายิง +50% ความเร็วรีโหลด +50% และผลักศัตรูที่เข้าใกล้เป็นระยะ
Tarot.Description.42102	ถ้าไม่มีหน่วยใด (พวกเดียวกันหรือศัตรู) ในระยะ 300 หลา ความเสียหายกระสุนนัดถัดไป +150% ทุกวินาที สูงสุด 3 ชั้น และผลักศัตรูที่เข้าใกล้เป็นระยะ
Tarot.Description.42111	เมื่อเลือกไพ่ทาโรต์ รีเฟรชได้ 1 ครั้ง\\nต่อไพ่ทาโรต์ตั้งตรงที่ถืออยู่ 1 ใบ ความเสียหายสุดท้าย +15%
Tarot.Description.42112	เมื่อเลือกไพ่ทาโรต์ สามารถกลับหัวไพ่ได้\\nต่อไพ่ทาโรต์กลับหัวที่ถืออยู่ 1 ใบ ความเสียหายสุดท้าย +25% ความเสียหายที่ได้รับ +10%
Tarot.Description.42121	แปลงพลังชีวิตปัจจุบันทั้งหมดเป็น <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color>\\nทุก 1% ของพลังชีวิตที่เสียไป ความเสียหายสุดท้าย +2%
Tarot.Description.42122	ฟื้นพลังชีวิตสูงสุด 50% ทันที\\nทุก 1% ของพลังชีวิตที่เหลืออยู่ ความเสียหายสุดท้าย +1.5%
Tarot.Description.42131	เอฟเฟกต์ <link=\\"9022\\"><color=#d6b85b>[แตกสลาย]</color></link> ของคุณทำงานเพิ่มอีก 1 ครั้ง
Tarot.Description.42132	<color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]: </link></color>เมื่อเข้าร้านค้า ครั้งถัดไปที่ <link=\\"9022\\"><color=#d6b85b>[แตกสลาย]</color></link> ของเรลิคทำงาน เอฟเฟกต์ <link=\\"9022\\"><color=#d6b85b>[แตกสลาย]</color></link> จะทำงาน 5 ครั้ง
Tarot.Description.42141	เอฟเฟกต์ <color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color> ของคุณทำงานเพิ่มอีก 1 ครั้ง
Tarot.Description.42142	จำกัด 1 ครั้งต่อร้าน เมื่อ<color=#d6b85b>ซื้อ</color>เรลิคที่มีเอฟเฟกต์ <color=#d6b85b><link="9002">[ปลายทาง]</link></color> จะทำลายมันทันทีและได้รับเอฟเฟกต์นั้นถาวร
Tarot.Description.42151	การรีเฟรชร้านค้า 5 ครั้งแรกฟรี\\nทุกการรีเฟรชครั้งที่ 5 เรลิคในร้าน 1 ชิ้นแบบสุ่มจะกลายเป็นหลอมต้องห้าม
Tarot.Description.42152	สลับราคาซื้อกับราคารีเฟรชของร้านค้า แต่การแยกชิ้นส่วนไอเทมในร้านจะไม่ได้รับชิ้นส่วน
Tarot.Description.42161	<color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color>: ได้รับ [พันธะยมโลก] 1 ชั้น ทำให้ความเสียหายที่ได้รับ +100% และจะถูกลบเมื่อได้รับความเสียหาย\\n<link=\\"9002\\"><color=#d6b85b><color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color></color></link>: ลบ [พันธะยมโลก] ทั้งหมด แต่ละชั้นจะแปลงเป็นเรลิคแบบสุ่ม 1 ชิ้น
Tarot.Description.42162	<color=#d6b85b><link=\\"9001\\">[ออกเดินทาง]</link></color>: ได้รับ [พันธะยมโลก] 1 ชั้น ทำให้ความเสียหายที่ได้รับ +200% และจะถูกลบเมื่อได้รับความเสียหาย\\n<color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link></color>: ลบ [พันธะยมโลก] ทั้งหมด แต่ละชั้นจะแปลงเป็นเหรียญ
Tarot.Description.42171	ได้รับ<color=#D77D3A>เรลิคตำนานปริศนา</color> 1 ชิ้น
Tarot.Description.42172	ได้รับเรลิค<color=#f4a51c>ตำนาน</color> 1 ชิ้น\\n<color=#d6b85b><link=\\"9002\\">[ปลายทาง]</link>:</color> ได้รับ<color=#d6b85b>เครื่องหมายหอคอยขาว</color> 1 ชั้น เมื่อ<color=#d6b85b>เครื่องหมายหอคอยขาว</color>ครบ 20 ชั้น จะใช้เครื่องหมายทั้งหมดและได้รับเรลิค<color=#f4a51c>ตำนาน</color> 1 ชิ้น
Tarot.Description.42181	เมื่อได้รับความเสียหายถึงตาย ฟื้นพลังชีวิตเต็ม แล้วทำลาย<color=#d6b85b>[ไพ่ทาโรต์ - ดวงดาว]</color>
Tarot.Description.42182	เมื่อได้รับความเสียหายถึงตาย ได้รับ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> เท่ากับพลังชีวิตสูงสุด แล้วทำลาย<color=#d6b85b>[ไพ่ทาโรต์ - ดวงดาว]</color>
Tarot.Description.42191	<color=#d6b85b>เมื่อเกิด<link=\\"9033\\">แปรปรวน</link>:</color> มีโอกาส 30% ทำให้เอฟเฟกต์<link=\\"9033\\">แปรปรวน</link>ของอาวุธรองทำงานเพิ่มอีก 1 ครั้ง
Tarot.Description.42192	ความเสียหายแปรปรวน +100%\\n<color=#d6b85b>เมื่อเกิด<link=\\"9033\\">แปรปรวน</link>:</color> สร้าง<color=#fff8cb>ความเสียหายจริง</color>เพิ่ม 100%
Tarot.Description.42201	ได้รับ<color=#d6b85b>พรแห่งสุริยัน</color> เพิ่มความเสียหายสุดท้ายตามตำแหน่งของดวงอาทิตย์ ตอนเที่ยงวัน ความเสียหายสุดท้าย +150%
Tarot.Description.42202	ได้รับ<color=#d6b85b>พรแห่งสุริยันแผดเผา</color> เพิ่มความเสียหายสุดท้ายตามตำแหน่งของดวงอาทิตย์\\nตอนเที่ยงวัน ความเสียหายสุดท้าย +300% ตอนตะวันตกดิน ความเสียหายสุดท้าย -100%
Tarot.Description.42211	เมื่อสร้างความเสียหายต่อศัตรูที่เลือดเต็ม จะหักพลังชีวิตของมันทันที 20%
Tarot.Description.42212	เมื่อสร้างความเสียหายต่อศัตรูที่เลือดเต็ม จะหักพลังชีวิตของมันทันที 60%\\nแต่ศัตรูจะฟื้นพลังชีวิตสูงสุด 50% ภายใน 10 วินาทีถัดมา
Tarot.Description.42221	เมื่อคุณได้รับ <color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color> <color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> หรือ <color=#11f7ef><link=\\"9025\\">[เกราะ]</link></color> แบบถาวร จะได้เพิ่มอีก 2 ชั้น
